Word,Synonyms
Quiz,"Examination,Quiz,Test"
Rage,"Fury,Outrage,Rage"
Rare,"Scarce,Uncommon,Rare"
Rational,"Logical,Rational,Reasonable"
Realize,"Appreciate,Realize,Understand"
Reasonable,"Fair,Just,Reasonable"
Rebel,"Insurgent,Rebel,Revolutionary"
Receive,"Acquire,Receive,Obtain"
Recommend,"Advise,Recommend,Suggest"
Refuse,"Decline,Refuse,Reject"
Regret,"Apology,Regret,Sorrow"
Sad,"Dejected,Gloomy,Sad"
Safe,"Secure,Safe,Protected"
Same,"Identical,Same,Equal"
Say,"Express,State,Say"
Scared,"Afraid,Frightened,Scared"
Scarce,"Rare,Scarce,Limited"
Secret,"Confidential,Secret,Private"
See,"Observe,See,Perceive"
Serious,"Earnest,Serious,Sincere"
Shiny,"Gleaming,Shiny,Bright"
Tall,"High,Tall,Elevated"
Talk,"Communicate,Talk,Converse"
Tasty,"Delicious,Flavorful,Tasty"
Terrible,"Awful,Horrible,Terrible"
Thankful,"Appreciative,Grateful,Thankful"
Think,"Consider,Ponder,Think"
Thorough,"Comprehensive,Thorough,Complete"
Timid,"Shy,Timid,Timorous"
Tired,"Exhausted,Fatigued,Tired"
TRUE,"Genuine,Real,True"
Ugly,"Hideous,Repulsive,Ugly"
Understand,"Comprehend,Grasp,Understand"
Unique,"Distinctive,Exceptional,Unique"
Unite,"Join,Unite,Combine"
Unusual,"Atypical,Unique,Unusual"
Upset,"Agitated,Distressed,Upset"
Urgent,"Crucial,Imperative,Urgent"
Use,"Employ,Utilize,Use"
Useful,"Beneficial,Helpful,Useful"
Useless,"Futile,Ineffective,Useless"
Vacant,"Empty,Vacant,Unoccupied"
Vague,"Ambiguous,Unclear,Vague"
Valuable,"Precious,Valuable,Priceless"
Variety,"Assortment,Diversity,Variety"
Vast,"Immense,Large,Vast"
Very,"Extremely,Highly,Very"
Vibrant,"Lively,Vibrant,Dynamic"
Victory,"Triumph,Victory,Success"
View,"Observe,See,View"
Violent,"Fierce,Savage,Violent"
Wary,"Cautious,Careful,Wary"
Wealthy,"Affluent,Rich,Wealthy"
Weird,"Bizarre,Strange,Weird"
Welcome,"Greet,Receive,Welcome"
Well-known,"Famous,Renowned,Well-known"
Wet,"Damp,Moist,Wet"
Whimsical,"Capricious,Fanciful,Whimsical"
Whole,"Complete,Entire,Whole"
Wide,"Broad,Extensive,Wide"
Wild,"Feral,Untamed,Wild"
Xenophobia,"Racism,Xenophobia,Prejudice"
Xeric,"Arid,Dry,Xeric"
Xerox,"Duplicate,Photocopy,Xerox"
Yearn,"Crave,Long,Yearn"
Yellow,"Golden,Amber,Yellow"
Yield,"Produce,Generate,Yield"
Young,"Juvenile,Adolescent,Young"
Youthful,"Adolescent,Juvenile,Youthful"
Yearly,"Annual,Yearly,Yearlong"
Yes,"Affirmative,Yes,Positive"
Yummy,"Delicious,Tasty,Yummy"
Yesterday,"Prior,Past,Yesterday"
Yell,"Shout,Scream,Yell"
Zenith,"Summit,Peak,Zenith"
Zealous,"Passionate,Enthusiastic,Zealous"
Zero,"Null,Nought,Zero"
Zest,"Gusto,Enthusiasm,Zest"
Zigzag,"Wavy,Meandering,Zigzag"
Zany,"Comical,Witty,Zany"
Zephyr,"Breeze,Gust,Zephyr"
Zonal,"Regional,Zonal,Area-based"
